Case ID,Case Name,Citation,Year,Provision(s) in Dispute,Question(s) presented?,Characterized Answer,Characterized Explanation,Oyez Answer,Difference Flag,Opinion Length,Vote Count,Vote Split,Majority,Plurality,Concurrence,Dissent,I-Length,I-Count-Pink,I-Count Green,I-Count-Blue,I-Count-Orange,I-Count-Purple,I-Count-Yellow,MA1-Length,MA1-Count-Pink,MA1-Count Green,MA1-Count-Blue,MA1-Count-Orange,MA1-Count-Purple,MA1-Count-Yellow,R-Length,R-Count-Pink,R-Count Green,R-Count-Blue,R-Count-Orange,R-Count-Purple,R-Count-Yellow,C-Length,C-Count-Pink,C-Count-Blue,C-Count Green,C-Count-Orange,C-Count-Purple,C-Count-Yellow
32,Knox v. Service Employees International Union,567 U.S. 298 (2012),2011,Does union contract violate first and fourteenth amendments,"May a state consistent with the first and fourteenth amendments, condition employment on the payment of a special union assessment intended solely for political and ideological expenditures without first providing a notice that includes information about that assessment and provides an opportunity to object to its exaction and condition public employment on the payment of union agency fees for the purposes of financing political expenditures for ballot measures?",No,green,,0,23,"7,2",2,"Alito,Thomas,Scalia,Kennedy,Roberts,Sotomayor,Ginsburg",,,"Kagan,Breyer",6,0,0,0,0,0,0,,77,124,0,58,0,0,,48,57,0,2,0,0,1,0,0,0,17,0,0
33,Rehberg v. Paulk,556 U.S. 356 (2012),2011,Grand jury witness immunity in a §1983 action,Are government officials who initiate prosecutions by providing false testimony in judicial proceedings absolutely immune from civil suit?,Yes,precedent,,0,18,"9,0",0,"Alito;Scalia,Roberts,Kennedy,Thomas,Ginsburg,Breyer,Sotomaor,Kagan",,,,2.5,0,0,0,0,0,0,9.5,111,58,0,8,0,0,4.5,0,81,20,0,0,0,0.5,0,0,0,0,0,0
34,Taniguchi v. Kan Pacific,566 U.S. 560 (2012),2011,U.S.C. Section § 1920(6),"Are costs incurred in translating documents ""compensation of interpreters"" under U.S.C. Section § 1920(6)?",No,literal meaning of statute,,2,15,"6,3",2,"Alito,Scalia,Roberts,Kennedy,Thomas,Kagan",,,"Ginsburg,Breyer,Sotomayor",3,0,0,0,0,0,0,6.5,5,0,0,9,43,80,4,13,20,0,13,0,42,0.5,0,0,0,0,0,4
35,Williams v. Illinois,567 U.S. 50 (2012),2011,6th Amendment Confrontation Clause,"""Can an expert witness be called as a stand-in for a lab analyst who actually did a test on criminal evidence, but did not appear at the trial?""",Yes,precedent,,1,33,"5,4",1,"Alito;Roberts,Kennedy,Thomas,Breyer",,,"Scalia;Ginsburg,Sotomayor,Kaga",11,74,0,0,0,0,0,11.5,156,108,19,0,0,0,10,12,200,0,0,0,20,0.5,0,0,0,0,0,0
36,Adoptive Couple v. Baby Girl,570 U.S. 637 (2013),2012,"ICWA, §1912(f) and §1912(d)","Can a non-custodial parent invoke ICWA to block an adoption voluntarily and lawfully initiated by a non-Indian parent under state law?|Does ICWA define ""parent"" to include an unwed biological father who has not complied with state law rules to attain legal status as a parent?",No,incorrect interpretation of the language of the statute,,1,17,"5,4",1,"Alito;Thomas,Breyer,Kennedy,Roberts",,,"Kagan;Sotomayor,Ginsburg,Scalia",2,0,0,0,0,0,0,9,0,18,0,4,43,63,6,0,14,0,40,0,28,0,0,0,0,0,0,0
37,Clapper v. Amnest International,568 US 398 (2013),2012,Article III of the constitution,Do respondents have article III standing to seek prospective relief under FISA?,No,pragmatic and doctrinal,,2,24,"5,4",1,"Alito;Roberts,Scalia,Kennedy,Thomas",,,"Breyer;Ginsburg,Sotomayor,Kagan",8,0,0,0,0,0,0,7,46,100,0,16,0,0,8,92,73,0,0,0,0,7,0,0,0,0,0,0
38,Johnson v. Wlliams,568 U.S. 289 (2013),2012,"Sixth Amendment jury trial claim,28 U.S.C. § 2254",Is a habeas petitioner’s claim “adjudicated on the merits” if the state court denied relief in an explained decision but did not expressly acknowledge the federal-law basis for the claim?,Yes,pragmatic,,0,16,"9,0",0,"Alito;Roberts,Kennedy,Thomas,Ginsburg,Breyer,Sotomayor,Kagan",,Scalia,,6.5,0,0,0,0,0,0,3,14,43,0,0,0,0,6,0,68,0,7,0,27,0/5,0,0,0,0,0,0
39,Mutual Pharmaceutical Co. v. Bartlett,570 US 472 (2013),2012,"The federal food, drug, and cosmetic act",Does federal law preempt a state design defect claim against a generic drug manufacturer?,Yes,practical considerations and precedent,,0,20,"5,4",1,"Alito,Scalia,Roberts,Kennedy,Thomas",,,"Ginsburg,Breyer,Sotomayor,Kagan",5,8,4,0,0,0,0,5,42,68,0,3,0,0,9.5,113,121,0,4,0,5,0.5,3,13,0,0,0,0
40,Salinas v. Texas,570 U.S. 178 (2013),2012,"Self-Incrimination Clause, Fifth Amendment",Does the Fifth Amendment’s Self-Incrimination Clause protect a defendant’s refusal to answer questions asked by law enforcement before he has been arrested or read his Miranda rights?,No,doctrinal and pragmatic,,0,12,"5,4",1,"Alito;Roberts,Kennedy",,Thomas;Scalia,"Breyer;Ginsburg,Sotomayor,Kagan",3,0,3,0,0,0,0,2.5,40,23,0,7,0,0,5.5,33,66,0,0,0,4,0/4,0,0,0,0,0,0
41,Vance v. Ball State,570 US 421 (2013),2012,workplace harassment under title VII,can a coworker who is vested with the authority to oversee the daily work of another worker be considered a supervisor for the purpose of determining employer liability for workplace harassment?,No,pragmatic,,2,30,"5,4",1,"Roberts,Scalia,Kennedy,Alito",,Thomas,"Kagan,Sotomayor,Ginsburg,Breyer",4.5,0,0,0,0,0,0,14.5,120,70,0,0,0,25,10.5,17,89,0,0,0,0,0.5,0,0,0,0,0,0
42,"Atlantic Marine Construction Co., Inc v. US Dist. Ct for the Western Dist of TX",571 U.S. 49 (2013),2013,28 U.S.C. § 1404(a),"Did the Supreme Court&#39;s decision in Stewart Organization, Inc. v. Ricoh Corp. limit review of forum selection clauses to a discretionary, balancing-of-conveniences analysis under 28 U.S.C. § 1404(a) | If so, who has the burden of proof when a party seeks to enforce or avoid a forum selection clause?",Yes,precedent and pragmatism,,0,18,"9,0",0,"Alito;Scalia,Breyer,Sotomayor,Kagan,Roberts,Kennedy,Thomas,Ginsburg",,,,3,0,0,0,0,0,0,11,73,91,0,0,29,70,4,24,55,0,17,3,7,0,0,0,0,0,0,0
43,Burt v. Titlow,571 U.S. 12 (2013),2013,antiterrorism and effective death penalty act,did the sixth circuit give appropriate deference to the michigan trial court under the AEDPA? Can a defendant establish prejudice in an ineffective assisstance claim by presenting subjective testimony that he would have accepted the plea offer absent the attorney's deficient advice? does the court's decision in Lafler v. Cooper require a state trial court to resentence a defendant when he claims that ineffective assistance of ocnsel led him to reject a plea offer?,no,practical considerations and precedent,,0,11,"9,0",0,"Alito,Scalia,Breyer,Ginsburg,Sotomayor,Kagan,Roberts,Kennedy,Thomas",,,,4,0,0,0,0,0,0,4,25,23,0,8,0,34,3,11,26,0,0,0,0,0,0,0,0,0,0,0
44,Burwell v. Hobby Lobby Stores,573 U.S. 682 (2014),2013,Religious Freedom Restoration Act of 1993,Does the Religious Freedom Restoration Act of 1993 allow a for-profit company to deny its employees health coverage of contraception to which the employees would otherwise be entitled based on the religious objections of the company's owners?,Yes,purposive-ism and pragmatism,,0,49,"5,4",1,"Alito;Roberts,Kennedy,Scalia,Thomas",,,"Ginsburg;Breyer,Sotomayor,Kagan",15.5,0,2,0,0,0,0,5.5,0,44,0,0,0,43,29,116,242,0,75,11,46,0,0,0,0,0,0,0
45,Harris v. Quinn,573 US 616 (2014),2013,"first amendment, fair share provision for union fees (part of overturning Abood sequence)",does the fair share provision in the collective bargaining agreement between the state of Illinois and the union representative violate the first amendment rights to freedom of speech and freedom of association of personal assistants who are not members of the union?,Yes | Unanswered,pragmatism and precedent,,0,39,"5,4",1,"Alito,Roberts,Kennedy,Scalia,Thomas",,,"Ginsburg,Breyer,Sotomayor,Kagan",8,0,0,0,0,0,0,21,238,179,0,0,6,5,9,70,131,0,0,0,0,0.5,0,6,0,6,0,0
46,Limelight v. Akamai,574 U.S. 915 (2014),2013,"35 U.S.C. § 271(a) and § 271(b),federal laws prohibiting patent infringement",“Did the Federal Circuit court err in holding that a defendant may be liable for inducing patent infringement under § 271(b) even if no party committed direct infringement under §271(a)?”,Yes,precedent and pragmatism,,0,11,"9,0",0,"Alito;Scalia,Breyer,Sotomayor,Kagan,Roberts,Kennedy,Thomas,Ginsburg",,,,4,0,0,0,0,0,0,4,39,0,0,8,18,0,3,23,31,0,0,3,3,0,0,0,0,0,0,0
47,Northwest v. Ginsberg,572 U.S. 273 (2014),2013,airline deregulation act of 1978,"are claims arising from a frequent flyer program contract preempted by the airline deregulation act as dealing with the price, route, or service of an air carrier?",Yes,pragmatism,,1,14,"9,0",0,"Alito;Scalia,Breyer,Sotomayor,Kagan,Roberts,Kennedy,Thomas,Ginsburg",,,,5.5,0,0,0,0,0,0,5,17,34,0,23,0,28,3,18,44,0,0,21,0,0.5,0,3,0,0,0,0
48,Plumhoff v. Rickard,572 U.S. 765 (2014),2013,Qualified immunity for police officers,Did the Sixth Circuit err when it looked at whether subsequent case law supported the police's actions rather than determining if the police's actions were prohibited in 2004?|Did the Sixth Circuit properly dismiss the police's qualified immunity defense by finding that the police acted unreasonably?”,Yes,precedent,,1,15,"9,0",0,"Alito;Scalia,Breyer,Sotomayor,Kagan,Roberts,Kennedy,Thomas,Ginsburg",,,,4,0,0,0,0,0,0,7.5,162,57,0,0,0,0,3,49,32,0,0,0,0,0.5,0,0,0,0,0,0
49,B&B Hardware v. Hargis,575 US __ (2015),2014,issue preclusion,Does a finding of a likelihood of confusion by the trademark trial and appeal board preclude a re-litigation in federal court?,Yes,precedent,,2,10,"7,2",2,"Alito,Roberts,Kennedy,Ginsburg,Breyer,Sotomayor,Kagan",,,"Scalia,Thomas",3,0,0,0,0,0,0,3,30,14,0,0,6,5,3.5,36,68,2,0,8,5,0.5,0,0,0,0,0,0
50,"Kellogg, Brown, & Root Services v. U.S. ex rel Carter",575 U.S. ___ (2015),2014,Wartime Suspension of Limitations Act (WSLA),Does the Wartime Suspension of Limitations Act’s statute of limitations tolling provision be applied to claims of civil fraud brought by private parties in a manner that leads to indefinite tolling?|Does the False Claims Act’s “first-to-file” bar act as a “one-case-at-a-time” rule allowing as many related claims to be filed as long as no prior claim is pending at the time of filing?”,No|Yes,"textualism, structuralism, puposive-ism",,2,13,"9,0",0,"Alito;Roberts,Kennedy,Scalia,Thomas,Ginsburg,Breyer,Sotomayor,Kagan",,,,5,0,0,0,0,0,0,4,0,0,0,55,0,49,5,7,18,0,35,45,40,0.5,0,0,0,0,0,0
